title,source,published_at,sentiment,confidence,prob_negative,prob_positive,url
"Elon Musk Says Tesla Cybercab, Optimus Robot Production Will Be 'Agonizingly Slow' To Start",Jalopnik,2026-01-21T15:10:43Z,Negative,0.9687462449073792,0.9687462449073792,0.031253814697265625,https://www.jalopnik.com/2081370/elon-musk-tesla-cybercab-optimus-robot-agonizingly-slow/
Barrier Coatings for Flexible Packaging Market Trends for 2026,GlobeNewswire,2026-01-21T15:10:00Z,Positive,0.9937653541564941,0.0062346323393285275,0.9937653541564941,https://www.globenewswire.com/news-release/2026/01/21/3222990/0/en/Barrier-Coatings-for-Flexible-Packaging-Market-Trends-for-2026.html
"Weber Expands Smart Grilling Portfolio to Create the Backyard’s First Seamless, Smart Ecosystem",Financial Post,2026-01-21T15:09:18Z,Positive,0.9930399656295776,0.00696005392819643,0.9930399656295776,https://financialpost.com/pmn/business-wire-news-releases-pmn/weber-expands-smart-grilling-portfolio-to-create-the-backyards-first-seamless-smart-ecosystem
US natural gas prices surge nearly 60% in just three days – what triggered the sudden gas price spike and will the US economy face high inflation again?,The Times of India,2026-01-21T15:04:17Z,Negative,0.9284654259681702,0.9284654259681702,0.07153461873531342,https://economictimes.indiatimes.com/news/international/us/us-natural-gas-prices-surge-nearly-60-in-just-three-days-what-triggered-the-sudden-gas-price-spike-and-will-the-us-economy-face-high-inflation-again/articleshow/127004712.cms
Show HN: See the carbon impact of your cloud as you code,Hacker News,2026-01-21T15:04:07Z,Positive,0.8451772332191467,0.15482276678085327,0.8451772332191467,https://news.ycombinator.com/item?id=46706668
"Trump’s AI deal for Silicon Valley: Build your own nuclear, skip years of regulation",Fortune,2026-01-21T15:03:47Z,Positive,0.8400291800498962,0.15997081995010376,0.8400291800498962,https://fortune.com/2026/01/21/trump-davos-nuclear-power-plant-approval-data-centers-ai-race-energy/
European Parliament votes to delay Mercosur deal in court,DW (English),2026-01-21T15:02:00Z,Negative,0.9764337539672852,0.9764337539672852,0.023566165938973427,https://www.dw.com/en/european-parliament-votes-to-delay-mercosur-deal-in-court/a-75593480
World's biggest nuclear power plant restarts almost 15 years after Fukushima disaster,ABC News (AU),2026-01-21T15:01:56Z,Positive,0.5938861966133118,0.40611380338668823,0.5938861966133118,https://www.abc.net.au/news/2026-01-22/worlds-biggest-nuclear-power-plant-restarted-after-fukushima/106255280
U.S. Natural Gas Prices Surge 45% in Two Days Due to Arctic Cold,OilPrice.com,2026-01-21T15:00:00Z,Positive,0.7205020785331726,0.2794979214668274,0.7205020785331726,https://oilprice.com/Energy/Natural-Gas/US-Natural-Gas-Prices-Surge-45-in-Two-Days-Due-to-Arctic-Cold.html
EU Prepares New Russia Sanctions Focused on Shadow Fleet and Energy Trade,OilPrice.com,2026-01-21T15:00:00Z,Negative,0.9503358602523804,0.9503358602523804,0.04966413602232933,https://oilprice.com/Geopolitics/Europe/EU-Prepares-New-Russia-Sanctions-Focused-on-Shadow-Fleet-and-Energy-Trade.html
