asset_ticker,asset_type,query_keyword,news_category,title,description,source,published_at,sentiment,confidence,prob_negative,prob_positive,url,is_financial,financial_confidence,financial_label
SP500,Index,CATEGORY_BUSINESS,business,S&P 500 futures climb after index starts February trading on a winning note: Live updates - CNBC,Investors this week are digesting more than 100 S&P 500 companies posting earnings results. AMD and Pfizer are among those expected to report on Tuesday.,CNBC,2026-02-03T09:40:00Z,Positive,0.7545353174209595,0.2454647272825241,0.7545353174209595,https://www.cnbc.com/2026/02/02/stock-market-today-live-updates.html,1,0.9998680353164673,Financial
HO,Company,CATEGORY_BUSINESS,business,S&P 500 futures climb after index starts February trading on a winning note: Live updates - CNBC,Investors this week are digesting more than 100 S&P 500 companies posting earnings results. AMD and Pfizer are among those expected to report on Tuesday.,CNBC,2026-02-03T09:40:00Z,Positive,0.7545353174209595,0.2454647272825241,0.7545353174209595,https://www.cnbc.com/2026/02/02/stock-market-today-live-updates.html,1,0.9998680353164673,Financial
TSLA,Company,CATEGORY_BUSINESS,business,China Bans Hidden Car Door Handles in World-First Safety Policy - Bloomberg,"China banned concealed door handles on electric vehicles, the first country in the world to outlaw a design popularized by Tesla Inc. that is now facing global regulatory scrutiny due to a spate of deadly incidents.",Bloomberg,2026-02-03T07:30:00Z,Negative,0.9748114347457886,0.9748114347457886,0.0251886174082756,https://www.bloomberg.com/news/articles/2026-02-02/china-bans-hidden-car-door-handles-in-world-first-safety-policy,0,0.1656925231218338,Non-Financial
TSLA,Company,CATEGORY_BUSINESS,business,"Switch has now outsold DS, becomes best-selling Nintendo system ever - Nintendo Everything",New sales numbers from Nintendo show that Switch has now outsold DS and is Nintendo's best-selling system ever.,Nintendoeverything.com,2026-02-03T06:42:20Z,Positive,0.9674063920974731,0.0325936786830425,0.9674063920974731,https://nintendoeverything.com/switch-has-now-outsold-ds-becomes-best-selling-nintendo-system-ever/,0,0.01592760905623436,Non-Financial
HO,Company,CATEGORY_BUSINESS,business,"Switch has now outsold DS, becomes best-selling Nintendo system ever - Nintendo Everything",New sales numbers from Nintendo show that Switch has now outsold DS and is Nintendo's best-selling system ever.,Nintendoeverything.com,2026-02-03T06:42:20Z,Positive,0.9674063920974731,0.0325936786830425,0.9674063920974731,https://nintendoeverything.com/switch-has-now-outsold-ds-becomes-best-selling-nintendo-system-ever/,0,0.01592760905623436,Non-Financial
UNKNOWN,Unknown,CATEGORY_BUSINESS,business,Powerball: See the winning numbers in Monday’s $65 million drawing - PennLive.com,Check your numbers to see if you hit it big in Monday's jackpot.,PennLive,2026-02-03T04:02:00Z,Negative,0.5380047559738159,0.5380047559738159,0.4619952142238617,https://www.pennlive.com/lottery/2026/02/powerball-see-the-winning-numbers-in-mondays-65-million-drawing.html,1,0.984065592288971,Financial
GOLD,Commodity,CATEGORY_BUSINESS,business,Asian Stocks Set to Climb After US Data Lifts Mood: Markets Wrap - Bloomberg.com,Asian stocks climbed after their steepest two-day drop since April as markets found footing following sharp swings in gold and silver that sent ripples across assets. The precious metals rose in early trading.,Bloomberg,2026-02-03T01:56:00Z,Positive,0.8497182726860046,0.1502817720174789,0.8497182726860046,https://www.bloomberg.com/news/articles/2026-02-02/asian-stocks-set-to-climb-after-us-data-lifts-mood-markets-wrap,1,0.999870777130127,Financial
TSLA,Company,CATEGORY_BUSINESS,business,Elon Musk's SpaceX confirms it is taking over xAI - BBC,"Musk says the combined firm - which has been valued at more than $1tn - will be an ""innovation engine"".",BBC News,2026-02-03T01:04:46Z,Positive,0.9937362670898438,0.0062637352384626,0.9937362670898438,https://www.bbc.com/news/articles/cq6vnrye06po,0,0.3062604069709778,Non-Financial
ENGI,Company,CATEGORY_BUSINESS,business,Elon Musk's SpaceX confirms it is taking over xAI - BBC,"Musk says the combined firm - which has been valued at more than $1tn - will be an ""innovation engine"".",BBC News,2026-02-03T01:04:46Z,Positive,0.9937362670898438,0.0062637352384626,0.9937362670898438,https://www.bbc.com/news/articles/cq6vnrye06po,0,0.3062604069709778,Non-Financial
UNKNOWN,Unknown,CATEGORY_BUSINESS,business,International companies cut off business in the U.S. because of ICE - The Washington Post,French multinational Capgemini moved to distance itself “immediately” from ICE after criticism from French officials; a Canadian company has also canceled a sale to the agency.,The Washington Post,2026-02-03T00:05:20Z,Negative,0.9695191383361816,0.9695191383361816,0.03048094548285,https://www.washingtonpost.com/technology/2026/02/02/capgemini-ice-jim-pattison-group/,1,0.9814721345901489,Financial
